meal_id,tag_name
1,Stew
1,Meat
2,Desert
2,DinnerParty
2,Pudding
3,MainMeal
4,Nutty
5,Meat
5,Casserole
6,Spicy
6,Meat
7,Curry
7,Mild
9,Alcoholic
11,Pulse
12,Fish
12,Seafood
12,Dairy
12,Pie
13,Tart
14,Treat
14,Tart
14,Desert
14,DinnerParty
15,Baking
16,Pie
16,MainMeal
16,BBQ
16,Cake
17,Snack
17,Treat
19,Soup
23,Soup
24,Curry
24,Vegetarian
24,Cake
25,heavy
25,Nutty
25,Fruity
27,Vegan
27,Pasta
28,Vegan
28,Chocolate
28,Cake
31,Casserole
31,Vegetarian
32,Chilli
33,Alcoholic
34,Pasta
34,Baking
35,Curry
36,Vegetarian
36,Nutty
37,Curry
37,Vegetarian
38,Pie
38,Meat
39,Pie
40,Cake
40,Light
40,Baking
40,Desert
41,Speciality
41,Snack
41,StrongFlavor
43,BBQ
43,Meat
44,Christmas
50,Warming
50, Soup
52,Curry
52,Meat
53,Curry
53,Spicy
53,Alcoholic
54,Shellfish
54,Seafood
57,Pie
59,Soup
60,Sandwich
63,Seafood
63,Shellfish
69,Tart
69,Baking
69,Fruity
70,Pudding
73,LowCalorie
74,Dairy
74,Fruity
74,Desert
74,Treat
74,Speciality
75,Snack
75,Treat
76,Breakfast
77,Seafood
77,Spicy
77,Speciality
77,Easter
78,Soup
78,Baking
78,Calorific
80,Pasta
81,Chocolate
81,Snack
81,Sweet
81,Baking
82,Fish
82,Spicy
83,Vegetarian
84,Vegetarian
84,Pulse
84,Nutty
85,Baking
85,Cake
86,Vegetables
86,SideDish
87,Pie
88,Soup
88,SideDish
89,Vegan
89,Paella
93,Snack
94,Meat
94,Spicy
95,Curry
95,Meat
96,Cake
96,Pie
96,Desert
96,Fruity
96,Sour
97,Curry
100,BBQ
103,SideDish
107,Heavy
107,MainMeal
107,Speciality
108,Pasta
110,UnHealthy
110,Speciality
110,HangoverFood
113,Breakfast
113,Desert
113,Sweet
113,Fruity
114,Halloween
114,Pie
114,Desert
115,Cake
115,Desert
115,Treat
115,UnHealthy
115,Speciality
116,Desert
116,Pudding
116,Fruity
117,Caramel
118,Tart
118,Glazed
118,Baking
119,Egg
120,Soup
120,Warm
120,Seafood
120,Shellfish
121,MainMeal
121,Alcoholic
122,Pudding
123,Breakfast
123,UnHealthy
123,BBQ
134,Chilli
134,Curry
135,Snack
135,Spicy
138,Fish
138,Pie
138,Breakfast
138,Baking
139,Pulse
141,Greasy
141,UnHealthy
141,HangoverFood
141,Calorific
141,Breakfast
141,BBQ
142,Soup
143,Tart
144,Egg
145,Fish
145,Seafood
145,Shellfish
146,Pie
146,SideDish
147,Breakfast
147,Summer
152,Fresh
154,Cake
154,Chocolate
154,Desert
154,Pudding
155,Casserole
155,Cheasy
155,Meat
156,Tart
156,Savory
157,Snack
157,Cake
159,Pasta
159,Meat
159,Dairy
160,Pasta
160,Cheasy
160,Meat
161,Spicy
161,Fish
167,Baking
171,Pie
171,Desert
171,Sweet
171,Nutty
172,Chocolate
172,Desert
172,Snack
173,Vegetarian
174,Pie
174,Meat
175,Meat
175,Dairy
176,Cake
176,Treat
176,Sweet
177,Bun
177,Baking
177,Treat
178,DinnerParty
178,Desert
178,Pudding
178,Chocolate
179,Tart
179,Baking
181,Speciality
181,Snack
181,Desert
181,Pudding
182,Meat
183,Savory
185,Sweet
185,Snack
185,Treat
185,Tart
185,Alcoholic
185,BBQ
188,Soup
189,Christmas
190,Christmas
191,Christmas
197,Sausages
199,Warming
199, Soup
199, Beans
202,Desert
202,Dairy
202,Pudding
202,Cake
202,Breakfast
203,Treat
203,Snack
203,Dairy
205,Pasta
205,Meat
206,Pasta
206,Curry
207,Pulse
208,Pudding
208,Desert
208,Cake
208,Dairy
209,Vegetarian
209,Spicy
210,Vegetarian
211,Fish
215,Pasta
215,Light
216,Egg
216,Light
217,Pie
218,Pudding
218,Cake
218,Desert
219,Fruity
219,Pudding
219,Desert
220,Summer
222,Soup
222,Warm
223,Pie
223,Desert
224,DateNight
224,Expensive
224,Meat
224,MainMeal
224,Cheasy
225,Speciality
226,Sweet
229,Paleo
229,Keto
229,LowCarbs
229,Salad
229,Alcoholic
229,Halloween
230,Bun
230,Brunch
231,Egg
231,Brunch
231,Breakfast
232,Brunch
232,Fish
232,Fusion
233,Savory
233,Breakfast
234,Soup
234,Cake
235,Pasta
235,BBQ
235,Breakfast
238,Pudding
238,Pie
238,Baking
238,Fruity
238,Glazed
245,Tart
245,Baking
245,Alcoholic
246,Pudding
246,Brunch
247,Meat
247,Stew
248,Spicy
248,Bun
248,Calorific
249,Meat
250,MainMeal
255,Breakfast
255,Desert
255,Sweet
256,Stew
256,Baking
257,Meat
257,Pie
258,Pie
259,Desert
259,Summer
259,Fruity
259,Dairy
260,Cake
260,Sweet
262,SideDish
262,Treat
262,Baking
263,SideDish
264,Treat
264,Pudding
264,Speciality
265,Stew
267,Paleo
267,Keto
267,HighFat
267,Baking
267,LowCarbs
268,Cake
268,Baking
268,Desert
268,Sweet
268,Alcoholic
268,Calorific
269,Breakfast
269,Brunch
270,DinnerParty
270,HangoverFood
270,Alcoholic
277,Streetfood
277, Onthego
278,Fish
278,Breakfast
278,DateNight
279,Snack
279,Chocolate
280,Soup
281,Baking
281,Breakfast
281,Egg
281,Warm
281,Snack
